eta1,beta1,r1,eta2,beta2,r2,chi_eff,beta_eff,lambda0,solver_success
0.798709634288278,0.848309486095104,0.6955467375032366,1.0,0.5,1.0,0.9237023781644691,0.6646715474824728,2.583334953317165,1
1.6743609593821822,0.5611915040500809,0.854710043842873,1.0,0.5,1.0,1.4556804722115322,0.5471761081856119,1.6238104923122207,1
3.5761522649876216,4.790898644606822,0.3636078198043805,1.0,0.5,1.0,0.7374651351907542,-4.080988858339851,7.479834270832168,1
1.3651622910978563,0.6839438423197541,0.8547021570802866,1.0,0.5,1.0,1.0839078925666246,0.7377432196491351,9.564538403668214,1
1.238743361569145,4.011760752088957,0.26934647183731564,1.0,0.5,1.0,1.0060779033579137,0.6450723058119859,2.3515104489179635,1
4.383137026625259,0.28337288645631287,0.40513392801185855,1.0,0.5,1.0,1.337002559232647,0.4569875727637859,1.7143543192322352,1
2.308689477677423,4.881210582343181,0.8181818651793028,1.0,0.5,1.0,1.4744521285467396,9.851830801808712,4.656245723981355,1
2.230033247283327,2.1234141663924673,0.672116330944736,1.0,0.5,1.0,1.451709653310206,1.3292659293840294,1.538041911408521,1
3.3805146965961232,4.470762540097326,0.6497550187342183,1.0,0.5,1.0,1.8300405265879762,2.540750330146283,1.158599078396766,1
2.81890342097056,4.503421250071548,0.3647938382269763,1.0,0.5,1.0,0.7971366289096947,-7.00367402762116,7.6209728957507465,1
2.153509189181638,1.7571624102756234,0.49160952020913873,1.0,0.5,1.0,0.7427850835898424,13.161259268117382,9.336468580148333,1
0.6562824197936611,2.2645337770837903,0.3532940551566677,1.0,0.5,1.0,0.9812668237628572,0.6419828287419147,2.4240561229421305,1
1.5943326829737245,1.2371347058850357,0.7380353128752087,1.0,0.5,1.0,1.274838427802263,0.9333181876544967,1.8052169789545727,1
2.235159793239027,4.90371928460607,0.430201481198228,1.0,0.5,1.0,1.1347214278517757,1.3419208534834473,1.9604852667992625,1
3.639683142438592,1.5268633983927538,0.7611967201600532,1.0,0.5,1.0,1.205371158141831,2.3119943493880997,6.006811884432479,1
1.4588146873466021,1.3759353190028607,0.3340146796005454,1.0,0.5,1.0,1.0219614584880525,0.5673260004144708,2.3209044997227006,1
1.0821025693549928,3.752977608657564,0.44521260004385055,1.0,0.5,1.0,1.009248860823393,1.0583522257067248,2.278520164417899,1
1.0667534382190713,2.681068363121767,0.49065777728455184,1.0,0.5,1.0,1.009757012742044,0.9692866134216399,2.29211677546543,1
2.7736278126143192,3.5624980584184525,0.1532253115829752,1.0,0.5,1.0,1.0083537283715043,0.5245924040147337,2.365156674249064,1
2.7137391046246604,0.2580223425811595,0.8808735458312386,1.0,0.5,1.0,2.2560842658564866,0.30172011601394877,1.0539314785324874,1
3.4695465879940843,0.8459263600681027,0.8356507435962801,1.0,0.5,1.0,1.447135720879857,0.9650609825063021,5.86279843791231,1
1.287450348407107,1.77294423223617,0.13799039011708097,1.0,0.5,1.0,1.000996688587482,0.507099175070193,2.3897331121406395,1
2.17069006750393,3.657044806941237,0.19749613785986764,1.0,0.5,1.0,1.0123338318082822,0.5566574867252663,2.3483947960947757,1
3.9964305622132805,2.1354109706564928,0.7418623301363643,1.0,0.5,1.0,0.42291802399860823,0.48810951819434056,10.791185204541119,1
1.282673266707636,4.511733706072555,0.6818098467687961,1.0,0.5,1.0,1.0178698522486909,38.24582263520357,6.966888658623604,1
0.7169954190798935,2.39624222896483,0.1524248526150622,1.0,0.5,1.0,0.9987183836775919,0.5135710180106926,2.3953467242992614,1
3.751068899663453,1.8163081669111747,0.7193230434688027,1.0,0.5,1.0,2.2385957257431044,1.2994539552036901,0.9982262813425262,1
4.471404348122611,0.8818244872166503,0.7483003374638469,1.0,0.5,1.0,1.0227440769505032,1.1984901319383978,6.134651299560793,1
2.2359318545802083,1.911399875279967,0.6234591902415931,1.0,0.5,1.0,1.3750065473437107,1.1247661775008004,1.6345926901123409,1
4.883570681762061,3.4124393465476794,0.27685181041581464,1.0,0.5,1.0,1.1242541800683696,0.7002711105114839,2.0523908932778867,1
0.5019668907071627,0.5569688586476235,0.3357510684414905,1.0,0.5,1.0,0.9768761284941321,0.5038023261366493,2.462243035168103,1
0.8101868619941256,0.3315370265995571,0.8570737859979737,1.0,0.5,1.0,0.8720173441603447,0.37289890164355005,2.784738180596093,1
1.1825189242212097,1.669619807104753,0.872661694609104,1.0,0.5,1.0,1.1291193015738925,1.4258976918171191,2.0104459227707903,1
2.901637929243228,3.463419148321423,0.33007734845858516,1.0,0.5,1.0,1.0964395379068408,0.7824577843133615,2.104647289269064,1
3.497270558960784,0.8152810212607697,0.37687143269087187,1.0,0.5,1.0,0.5590272748607169,23.02262054892408,9.391316564156861,1
4.579752345600073,3.6477605596705827,0.4697786052464301,1.0,0.5,1.0,1.5476571589938315,1.4294599834178816,1.4003742733166615,1
2.5605035152237194,3.711447878232023,0.41828166368616637,1.0,0.5,1.0,1.1604921113949187,1.0915315776500816,1.9402757901141645,1
2.4462530903761155,2.8385522900362385,0.5477991974384222,1.0,0.5,1.0,1.3111540547000595,1.3046434782887806,1.6919258891819728,1
2.5719703102858493,3.0224789907523504,0.21989243343142706,1.0,0.5,1.0,1.0224445351652929,0.563153274956182,2.3190851665226773,1
3.8250798632007816,0.812771475634817,0.7468752368369573,1.0,0.5,1.0,0.9546178616939083,1.0695263700467552,6.8450087930903125,1
3.0771717276047617,4.679099813906965,0.43388492459381056,1.0,0.5,1.0,1.2411404263036276,1.404566030550577,1.7706781716011535,1
3.462666071938096,0.3673002668089298,0.34274423058539216,1.0,0.5,1.0,1.1422596181882405,0.4853525379213666,2.0455699891149015,1
1.2299512594168567,3.3424406259484045,0.19687579529119204,1.0,0.5,1.0,1.002239598258881,0.544734234979482,2.379526171557764,1
2.743200354224862,1.2633608037727395,0.23426866687363762,1.0,0.5,1.0,0.8419237712387204,1.684209533995734,9.0517671097566,1
4.160061872793937,1.2191122136882382,0.16389785194557352,1.0,0.5,1.0,1.0197240084604557,0.5080844050371177,2.3355450936283075,1
2.2658980984066024,1.053587899574247,0.6712150273216739,1.0,0.5,1.0,0.7809108220575243,1.8913448473604417,9.340384699268197,1
3.2841433369697097,4.744703920809968,0.7810738264122715,1.0,0.5,1.0,1.6006976433213123,9.687525128175725,4.318472638420972,1
1.8774684777208985,4.304908468278312,0.3023915033203276,1.0,0.5,1.0,1.0328239446819039,0.7452662135922357,2.2629444307349527,1
